"","es_l1_l2","es_l2_l3","es_l1_l3","se_l1_l2","se_l2_l3","se_l1_l3","study","g1l1","g1l2","g1l3","analysis","consonant"
"1",0.18266735858848,0.197311827956989,0.441375076734193,1.19861247118502,1.24358569320497,1.83765604566609,"Llama and Cordoso 2018_p_grp1","english","french","spanish","Kruskal-Wallis test","p"
"2",-0.531693472090823,0.871499176276771,0.336238198983297,1.98016018897828,2.56961290640097,1.60886704206451,"Llama and Cordoso 2018_p_grp2","french","english","spanish","Kruskal-Wallis test","p"
"3",0.246848431545001,0.244275901545507,0.561238000662032,1.38492956617085,1.37794627190539,2.06783743839595,"Llama and Cordoso 2018_t_grp1","english","french","spanish","Kruskal-Wallis test","t"
"4",-0.531012940651495,0.91581756428918,0.419170673076923,1.97887098827072,2.6334954715806,1.79177194830804,"Llama and Cordoso 2018_t_grp2","french","english","spanish","Kruskal-Wallis test","t"
"5",0.207168694508385,0.160403299725023,0.423076923076923,1.27296185154134,1.1268058460109,1.79992877351955,"Llama and Cordoso 2018_k_grp1","english","french","spanish","Kruskal-Wallis test","k"
"6",-0.333260869565217,0.665067178502879,0.285483870967742,1.55974031655031,2.24825943908577,1.48586530308932,"Llama and Cordoso 2018_k_grp2","french","english","spanish","Kruskal-Wallis test","k"
"7",-0.418918918918919,0.1875,-0.205128205128205,1.81351905183027,1.25,1.25639390360891,"Wrembel 2011a","polish","english","french","t.test","ptk"
"8",-0.4,0.186046511627907,-0.186046511627907,1.77129895839184,1.24534015153421,1.19409886233228,"Wrembel 2011b","polish","english","french","t.test","ptk"
"9",-0.532828282828283,0.253479125248509,-0.247774480712166,3.17764403045144,2.20054974249512,2.16365416461538,"Wrembel 2015_p_grp1","polish","english","french","","p"
"10",-0.332954545454545,0.15234375,-0.199127906976744,2.07121885672363,1.42089066731453,1.59693495554332,"Wrembel 2015_p_grp2","polish","english","german","","p"
"11",-0.532374100719424,0.332291666666667,-0.183284457478006,3.17628590089044,2.51790735654439,1.85905591702036,"Wrembel 2015_t_grp1","polish","english","french","","t"
"12",-0.484633569739953,0.252427184466019,-0.207182320441989,2.50235386549502,1.82209081456435,1.62938903497118,"Wrembel 2015_t_grp2","polish","english","german","","t"
"13",-0.539402173913043,0.261415525114155,-0.229508196721312,3.1972371690061,2.23454934307628,2.08190776650437,"Wrembel 2015_k_grp1","polish","english","french","","k"
"14",-0.419191919191919,0.214285714285714,-0.208333333333333,2.32616280836777,1.68052843599144,1.63397423323374,"Wrembel 2015_k_grp2","polish","english","german","","k"
"15",-0.265017667844523,0.0650887573964497,-0.191335740072202,2.08386383651418,1.05084134261288,1.76825809227282,"Wrembel 2015_p_grp3","polish","german","english","","p"
"16",-0.05,-0.0924369747899159,-0.153094462540717,0.815037247176909,1.12178579120282,1.45176037618326,"Wrembel 2015_p_grp4","polish","french","english","","p"
"17",-0.1,-0.0380577427821522,-0.140350877192982,1.27267315902276,0.773078085061581,1.51178253839009,"Wrembel 2015_t_grp3","polish","german","english","","t"
"18",-0.0833333333333334,-0.0782828282828282,-0.157458563535912,1.06346244924416,1.02968214039349,1.47265257402704,"Wrembel 2015_t_grp4","polish","french","english","","t"
"19",-0.252365930599369,0.0377604166666667,-0.187679083094556,2.03315882915884,0.808300628048149,1.75111445678378,"Wrembel 2015_k_grp3","polish","german","english","","k"
"20",-0.0526315789473684,-0.139186295503212,-0.206982543640898,0.837333756365329,1.38307405851266,1.69175687533945,"Wrembel 2015_k_grp4","polish","french","english","","k"
